12:25:24 - !! Updates available. Please run updatemcp to get them. !!
12:26:26 - !! Missing jar file jars\minecraft_server.jar. Aborting !!
12:26:36 - !! Can not find server sources !!
15:14:36 - !! Can not find server sources !!
15:16:11 - !! Can not find server bins !!
00:38:47 - !! Can not find server sources !!
00:40:12 - !! Can not find server bins !!
22:34:13 - !! Can not find server sources !!
22:36:04 - !! Can not find server bins !!
16:45:32 - !! Can not find server sources !!
16:47:18 - !! Can not find server bins !!
22:15:13 - !! Can not find server sources !!
22:16:52 - !! Can not find server bins !!
01:13:35 - !! Can not find server sources !!
01:16:04 - !! Can not find server bins !!
01:20:05 - !! Can not find server sources !!
01:25:10 - !! Can not find server bins !!
21:48:26 - !! Can not find server sources !!
21:58:08 - !! Can not find server bins !!
23:52:28 - !! Can not find server sources !!
23:54:30 - !! Can not find server bins !!
00:23:31 - !! Can not find server sources !!
00:25:11 - !! Can not find server bins !!
